Original_Symbol,SCENIC_DB_Symbol
Ntan1,SP2637
Nulp1,CG7927
Nup188,CG8771
Nup35,CG6540
OXA1L,CG6404
Octalpha2R,CG18208
Odj,CG7357
OtopLa,CG42492
OtopLc,CG42265
PAN3,CG11486
PCNA2,CG10262
PGAP1,CG3160
PGAP2,CG3876
PIG-A,CG6401
PIG-B,CG12006
PIG-F,CG9376
PIG-G,CG2144
PIG-H,CG14463
PIG-K,CG4406
PIG-L,CG4433
PIG-N,CG2292
PIG-O,CG12263
PIG-Q,Gpi1
PIG-T,CG11190
PIG-Wa,CG9870
PIG-X,CG30381
PLCXD,CG14945
PSMG1,CG2046
Paics,ade5
Parp16,CG15925
Pcyt1,Cct1
Pcyt2,Cct2
Pdhb,CG11876
Pdrg1,CG15863
Pdss2,CG10585
Pepck2,CG10924
Pfas,ade2
Pgant1,GalNAc-T1
Pgant2,pgant2
Pgant3,pgant3
Pgant4,pgant4
Pgant5,pgant5
Pgant6,pgant6
Pgant7,GalNAc-T2
Pgant8,pgant8
Pgant9,CG30463
Pgm1,Pgm
Pgm2a,Pmm45A
Pgm2b,CG10202
Phf5a,CG9548
Phs,CG7372
Pi4KIIIalpha,PI4KIIIalpha
Pif1,CG3238
Pisd,CG5991
Pits,CG11138
Pld3,CG9248
Plekhm1,CG6613
Pop1,l(1)G0045
Pop4,CG8038
Pop5,CG14057
Prdm13,CG13296
Prps,CG6767
Pstk,CG12788
Pus1,CG4159
Pus7,CG6745
Pyroxd1,CG10721
Qsox1,CG4670
Qsox2,CG17843
Qsox3,CG6690
RNaseZ,JhI-1
Rai1,CG9125
Rchy1,CG16947
ReepA,Reep1
ReepB,CG8331
Reepl1,CG11697
Regnase-1,CG10889
Rev7,rev7
Rexo5,CG8368
Rhau,CG9323
Rift,CG11576
Rilpl,CG11448
Rnb,CG7837
Rnf146,CG8786
Rnmt,l(2)35Bd
Rpe,CG30499
Rpp14b,CG15526
Rpp21,CG33082
Rpp25,CG9422
Rsbp15,CG10014
Rsph1,CG5458
Rsph3,CG32392
Rsph9,CG31803
Rubicon,CG12772
SCaMC,CG32103
Samtor,CG3570
Sarm,Ect4
Sbat,CG31950
Sccpdh1,CG2604
Sccpdh2,CG5167
Scsalpha1,Scsalpha
Scsalpha2,CG6255
ScsbetaA,skap
ScsbetaG,Sucb
Sec20,CG2023
SecCl,CG7589
SecS,CG1427
Secp43,CG15440
SelT,CG3887
Setd3,CG32732
Sf3a1,CG16941
Sf3a2,CG10754
Sf3b1,CG2807
Sf3b2,CG3605
Sf3b3,CG13900
Sf3b5,CG11985
Sf3b6,CG13298
Sfxn1-3,CG11739
Sfxn2,CG6812
Sgp,CG13091
Sgs5bis,CG7587
Sgsh,CG14291
Shmt,CG3011
SiaT,ST6Gal
Sil1,CG10420
Slc25A46a,CG8931
Sms,CG4300
Snx17,CG5734
Snx21,CG3077
Snx27,CG32758
Son,CG8273
Spag1,CG18472
Spg7,CG2658
Sps1,SelD
Srlp,CG5844
SrpRalpha,Gtp-bp
Srr,CG8129
Srrm1,SRm160
Srrm234,CG7971
Stacl,CG43729
Sting,CG1667
Stip1,Hop
Stoml2,CG2970
Stt3A,CG1518
Stt3B,OstStt3
Svil,CG45186
TBC1D23,CG4552
TBC1d7,CG6182
THADA,CG15618
TMEM216,CG8116
TORIP,CG14103
TTLL12,CG1550
TTLL15,CG4089
TTLL1B,CG32238
TTLL4A,CG16833
TTLL4B,CG3964
TTLL5,CG31108
TTLL6A,CG16716
TTLL6B,CG5987
Tep5Psi,Tep5
Theg,CG6332
Tmem63,CG11210
Tmtc3,CG4050
Tnpo,Trn
Tnpo-SR,Trn-SR
Tpst,Tango13
Trf5,CG15398
Tsen15,CG30343
Tsen2,CG31812
Tsen34,CG33260
Tsen54,CG5626
Ttc26,CG4525
Ttc30,CG5142
Ttc7,l(2)k14710
Uck,CG6364
Ufd4,CG5604
Ugalt,Csat
Uggt,Ugt
Ugt301D1,CG10178
Ugt302C1,Ugt86Da
Ugt302K1,Ugt86Di
Ugt303A1,Ugt86Dh
Ugt304A1,Ugt86Dj
Ugt305A1,CG18869
Ugt316A1,CG3797
Ugt317A1,Ugt58Fa
Ugt35A1,Ugt35a
Ugt35B1,Ugt35b
Ugt35C1,Ugt86Dd
Ugt35D1,CG31002
Ugt36A1,Dot
Ugt36D1,CG17323
Ugt36E1,CG17322
Ugt37A1,Ugt37a1
Ugt37A3,CG5999
Ugt37C1,Ugt37c1
Ugt37C2,Ugt36Ba
Ugt37D1,Ugt36Bc
Ugt49B1,CG4302
Ugt49C1,CG15661
Ugt50B3,CG30438
Urod,Updo
Uros1,CG1885
Uros2,CG9589
Uxs,CG7979
Uxt,l(2)35Cc
Vajk1,CG16886
Vajk2,CG16885
Vajk3,CG16884
Vajk4,CG30101
Vlet,CG2371
Vps13D,CG32113
Vps50,Vps54L
Wdfy2,CG5168
Wdr33,CG1109
Wdr37,CG12333
Wdr81,CG6734
Wdr92,CG14353
Xxylt,CG11388
YME1L,CG3499
Yif1,CG5484
Yip1d1,CG12404
Ythdc1,YT521-B
Ythdf,CG6422
Zdhhc8,CG34449
alpha-Catr,alpha-catenin-related
anchor,CG7510
anne,CG32000
apn,CG15887
aqz,CG9821
axed,CG8398
bb8,CG4434
brwl,CG3838
cass,Aac11
cocoon,CG7804
cyst,CG10188
daed,CG10880
ddbt,CG34264
dind,CG7705
dyw,CG2650
eEF1alpha1,Ef1alpha48D
eEF1alpha2,Ef1alpha100E
eEF1beta,Ef1beta
eEF1gamma,Ef1gamma
eEF2,EF2
eEF5,eIF-5A
eEFSec,EfSec
eIF1,CG17737
eIF1A,eIF-1A
eIF2Balpha,eIF2B-alpha
eIF2Bbeta,eIF2B-beta
eIF2Bdelta,eIF2B-delta
eIF2Bepsilon,eIF2B-epsilon
eIF2Bgamma,eIF2B-gamma
eIF2alpha,eIF-2alpha
eIF2beta,eIF-2beta
eIF2gamma,eIF-2gamma
eIF3a,eIF3-S10
eIF3b,eIF3-S9
eIF3c,eIF3-S8
eIF3d1,eIF-3p66
eIF3d2,CG4810
eIF3e,Int6
eIF3f1,CG9769
eIF3f2,CG8335
eIF3g1,eIF3ga
eIF3g2,eIF3gb
eIF3h,eIF-3p40
eIF3i,Trip1
eIF3j,Adam
eIF3k,CG10306
eIF3l,CG5642
eIF3m,Tango7
eIF4B,eIF-4B
eIF4E3,eIF4E-3
eIF4E4,eIF4E-4
eIF4E6,eIF4E-6
eIF4E7,eIF4E-7
eIF4EHP,4EHP
eIF4G1,eIF4G
eIF4H1,Rbp2
eRF3,Elf
fipi,CG15630
fiz,CG9509
flz,CG8213
fmt,CG10289
fzr,rap
galene,CG9194
gzl,godzilla
hiro,CG3344
hob,CG14967
hpRNA:CR18854,CR18854
hpRNA:CR32205,CR32205
hpRNA:CR32207,CR32207
hpRNA:CR33940,pncr009:3L
hrm,CG11665
hwt,CG43921
hzg,CG5830
ich,CG11966
jus,CG14509
kmg,CG5204
kmr,CG34383
knon,CG7813
kud,CG9669
l(3)80Fg,CG40178
l(3)80Fj,CG17514
lovit,CG45782
mAcon1,Acon
mEFG1,ico
mEFTs,CG6412
mEFTu1,EfTuM
mEFTu2,CG12736
mIF2,CG12413
mIF3,CG13163
mRF1,CG5705
mRRF1,CG4447
mRRF2,EF-G2
mah,CG13646
meng,CG11221
meru,CG32150
moon,CG12721
mrva,CG8602
mtgo,CG42389
nSMase,CG12034
narya,CG12200
naz,CG31235
nenya,CG31053
nkt,CG14141
ohgt,CG3925
ova,CG5694
p23,CG16817
pHCl-1,pHCl
pHCl-2,CG11340
prd1,CG17360
prg,fu2
puml,CG1882
raskol,CG42684
rdog,CG11897
red,CG12207
ringer,CG45057
salto,CG13164
sand,CG8713
saturn,CG32141
sbm,CG9413
shop,CG7280
shps,CG13611
side-II,CG42313
side-III,CG34113
side-IV,CG14372
side-V,CG34371
side-VI,CG34114
side-VII,CG12950
side-VIII,CG12484
sit,CG5278
slf,Clect27
smash,CG43427
snRNA:U12,snRNA:U12:73B
snRNA:U4atac,snRNA:U4atac:82E
snRNA:U6atac,snRNA:U6atac:29B
snsl,CG2837
snu,CG9990
sona,CG9850
sotv,Ext2
sov,CG14438
strat,CG7787
sturkopf,CG9186
stw,laccase2
tbc,CG32506
tea,CG30007
tpr,CG4386
udt,CG10217
vers,l(3)j2D3
vrs,CG5538
wrd,PP2A-B'
xmas,xmas-1
zda,CG5482
