manuscript_panel,measurement,unit,value,genotype_raw,rnai,replicate_id
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.7286584433873025,Control RNAi,Control,b12
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.8249318815060981,Control RNAi,Control,b12
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.987528350761386,Complex I RNAi,Complex I,b13
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),1.0621495373196752,Complex I RNAi,Complex I,b13
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.8019803512852582,Complex I RNAi,Complex I,b13
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.7971158328387439,Complex I RNAi,Complex I,b13
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),1.0228529379851412,Complex I RNAi,Complex I,b14
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.6845116822765338,Complex I RNAi,Complex I,b14
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.8589978673019796,Complex I RNAi,Complex I,b14
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.7294480602526983,Complex I RNAi,Complex I,b15
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.5794591402815641,Complex I RNAi,Complex I,b15
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.698983205918698,Complex I RNAi,Complex I,b15
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.7721136915462548,Complex I RNAi,Complex I,b16
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.9660100947901588,Complex I RNAi,Complex I,b16
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.6881391343005947,Complex I RNAi,Complex I,b17
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.6907807616321009,Complex I RNAi,Complex I,b17
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.7626071830425646,Complex I RNAi,Complex I,b17
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.7646649724493538,Complex I RNAi,Complex I,b17
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.7736929252770466,Complex I RNAi,Complex I,b18
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.5825912871809678,Complex I RNAi,Complex I,b18
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.6318227023492097,Complex I RNAi,Complex I,b18
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.8044066285625655,Complex I RNAi,Complex I,b19
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.6042555026333741,Complex I RNAi,Complex I,b19
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.7825390269478602,Complex I RNAi,Complex I,b19
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),1.0945046865738657,Complex I RNAi,Complex I,b20
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.7719103053839559,Complex I RNAi,Complex I,b20
