manuscript_panel,measurement,unit,value,heteroplasmy_pct,heteroplasmy_fraction,d_mel,d_yak,genotype,brain_label
Fig_1G,EdU-positive progeny per neuroblast,EdU+ progeny per neuroblast,4,52.83018867924528,0.5283018867924528,28,25,(heteroplasmic; implicit),B3
Fig_1G,EdU-positive progeny per neuroblast,EdU+ progeny per neuroblast,4,60,0.6,63,42,(heteroplasmic; implicit),B3
Fig_1G,EdU-positive progeny per neuroblast,EdU+ progeny per neuroblast,7,50,0.5,26,26,(heteroplasmic; implicit),B3
Fig_1G,EdU-positive progeny per neuroblast,EdU+ progeny per neuroblast,7,50.96153846153846,0.5096153846153846,53,51,(heteroplasmic; implicit),B4
Fig_1G,EdU-positive progeny per neuroblast,EdU+ progeny per neuroblast,4,56.75675675675676,0.5675675675675675,42,32,(heteroplasmic; implicit),B4
Fig_1G,EdU-positive progeny per neuroblast,EdU+ progeny per neuroblast,4,54.54545454545454,0.5454545454545454,48,40,(heteroplasmic; implicit),B4
Fig_1G,EdU-positive progeny per neuroblast,EdU+ progeny per neuroblast,7,42.5287356321839,0.42528735632183906,37,50,(heteroplasmic; implicit),B4
Fig_1G,EdU-positive progeny per neuroblast,EdU+ progeny per neuroblast,4,46.51162790697674,0.46511627906976744,40,46,(heteroplasmic; implicit),B4
Fig_1G,EdU-positive progeny per neuroblast,EdU+ progeny per neuroblast,5,51.66666666666667,0.5166666666666667,31,29,(heteroplasmic; implicit),B4
Fig_1G,EdU-positive progeny per neuroblast,EdU+ progeny per neuroblast,6,53.92156862745098,0.5392156862745098,55,47,(heteroplasmic; implicit),B4
Fig_1G,EdU-positive progeny per neuroblast,EdU+ progeny per neuroblast,5,52.77777777777778,0.5277777777777778,38,34,(heteroplasmic; implicit),B4
Fig_1G,EdU-positive progeny per neuroblast,EdU+ progeny per neuroblast,4,44.44444444444444,0.4444444444444444,20,25,(heteroplasmic; implicit),B4
Fig_1G,EdU-positive progeny per neuroblast,EdU+ progeny per neuroblast,5,48.38709677419355,0.4838709677419355,30,32,(heteroplasmic; implicit),B4
Fig_1G,EdU-positive progeny per neuroblast,EdU+ progeny per neuroblast,6,52.38095238095239,0.5238095238095238,44,40,(heteroplasmic; implicit),B4
Fig_1G,EdU-positive progeny per neuroblast,EdU+ progeny per neuroblast,6,51.72413793103448,0.5172413793103449,30,28,(heteroplasmic; implicit),B4
Fig_1G,EdU-positive progeny per neuroblast,EdU+ progeny per neuroblast,4,55.319148936170215,0.5531914893617021,26,21,(heteroplasmic; implicit),B4
Fig_1G,EdU-positive progeny per neuroblast,EdU+ progeny per neuroblast,7,53.38983050847458,0.5338983050847458,63,55,(heteroplasmic; implicit),B4
